Item,Description,Link,Qt,Price
(TP4056),Charging battery,https://store.fut-electronics.com/products/lithium-battery-charger-and-protection-module,1,0.6
OLED 1.3,Display data,https://www.ram-e-shop.com/ar/shop/oled-1-3-4pin-oled-1-3-4pin-lcd-display-module-i2c-iic-communicate-7794,1,5.3
ESP_32 S3,Control circuit,https://store.fut-electronics.com/products/esp32-s3-devkitc-1,1,11
MAX98357 ,control voic,https://www.temu.com/ul/kuiper/un9.html?subj=goods-un&_bg_fs=1&_p_jump_id=894&_x_vst_scene=adg&goods_id=606574756130023&sku_id=102789975930624&adg_ctx=a-1da434c6~c-4e92b557&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=-1&locale_override=60~en~EGP&_x_ns_sku_id=102789975930624&_x_ns_gid=606574756130023&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw9NjRBhATEiwA_p2J8Y1pPL-w2EHPIPbdHwOVtDvWjGX778cUH2O60U9AJQHgZOzbUmGiKhoCOwYQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=102789975930624&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkEKCQjw0dPRBhC2ARIwAJZdEhf2JD46Vdb29HoVPKV9N81hRIX_Cqd4sLyw8zZDAfq3iGrIv5_HK7Gqc2f7GgLBpA&_x_ns_gbraid=0AAAAAo4mICGifa2IyOcSZdDH6ZW2dQtrb&_x_ns_targetid=pla-2199902624321,1,3.4
speakers,outputsound,https://makerselectronics.com/product/speaker-4-ohm-3w-55mm/,1,0.5
Touch sensor,Control features,https://store.fut-electronics.com/products/capacitive-touch-sensor-ttp223-b,1,1.3
INMP441 ,Micrphone,https://www.temu.com/ul/kuiper/un9.html?subj=goods-un&_bg_fs=1&_p_jump_id=894&_x_vst_scene=adg&goods_id=601101766935591&sku_id=17601402302468&adg_ctx=a-255ad9fa~c-02163ee8~f-3c349780&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=-1&_x_ns_sku_id=17601402302468&_x_ns_gid=601101766935591&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw9NjRBhATEiwA_p2J8YuOEgpbniJ4VSoF1bcLMVS5nm3E00r5Cnj4DFEzQdGJ72TUmSAR9RoCKfQQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17601402302468&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkEKCQjw0dPRBhC2ARIwAJZdEhf2JD46Vdb29HoVPKV9N81hRIX_Cqd4sLyw8zZDAfq3iGrIv5_HK7Gqc2f7GgLBpA&_x_ns_gbraid=0AAAAAo4mICGifa2IyOcSZdDH6ZW2dQtrb&_x_ns_targetid=pla-2199902624321,1,4.04
Battery,power up circuit,https://makerselectronics.com/product/rechargeable-18650-li-ion-battery/,1,1
switch,turn on / off,https://store.fut-electronics.com/products/slide-switch-3-pin-spdt,1,0.1
M3 srews shcs 12 mm,,https://www.amazon.eg/-/en/Screws-City-12mm-Allen-Socket/dp/B08GY9YFYC,5,4.4
M3 heatinsert 4*5,housing where screw sit ,https://ampere-electronics.com/product/m3-knurled-brass-threaded-insert-nut/,5,0.5
Led Green,run when switch is open,https://www.ram-e-shop.com/ar/shop/3mm-led-gg-led-3mm-green-color-lyd-3mm-lwn-khdr-6194,1,0.01
jumpers,connect part with pcb,https://ampere-electronics.com/product/male-to-female-20cm-10-pin-jumper-wire-set/,2,0.3
pcb printing,..,..,1,45
3d prinitng,Printing enclosure,..,2,17.49
Total,..,..,..,94.94
